        Frequency / GHz                S2,1/abs,dB
                    6.04                      -5.8970336
               6.0479999                      -5.8507574
               6.0560002                      -5.8047953
               6.0640001                      -5.7591602
                   6.072                      -5.7138657
               6.0799999                      -5.6689218
               6.0879998                      -5.6243373
               6.0960002                      -5.5801192
               6.1040001                      -5.5362747
                   6.112                      -5.4928084
               6.1199999                      -5.4497213
               6.1279998                      -5.4070142
               6.1360002                      -5.3646882
               6.1440001                      -5.3227411
                   6.152                      -5.2811707
               6.1599998                      -5.2399701
               6.1680002                      -5.1991398
               6.1760001                      -5.1586717
                   6.184                      -5.1185601
               6.1919999                      -5.0787981
               6.1999998                      -5.0393813
               6.2080002                      -5.0003014
               6.2160001                      -4.9615545
                   6.224                       -4.923132
               6.2319999                      -4.8850298
               6.2399998                      -4.8472444
               6.2480001                      -4.8097705
                   6.256                      -4.7726058
               6.2639999                      -4.7357457
               6.2719998                      -4.6991905
               6.2800002                       -4.662939
               6.2880001                      -4.6269906
                   6.296                      -4.5913467
               6.3039999                      -4.5560095
               6.3119998                       -4.520981
               6.3200002                      -4.4862626
               6.3280001                      -4.4518602
                   6.336                      -4.4177766
               6.3439999                      -4.3840156
               6.3520002                      -4.3505809
               6.3600001                      -4.3174772
                   6.368                      -4.2847086
               6.3759999                      -4.2522785
               6.3839998                      -4.2201905
               6.3920002                      -4.1884464
               6.4000001                      -4.1570494
                   6.408                      -4.1259996
               6.4159999                      -4.0952993
               6.4239998                      -4.0649465
               6.4320002                      -4.0349417
               6.4400001                      -4.0052812
                   6.448                      -3.9759632
               6.4559999                      -3.9469841
               6.4640002                      -3.9183371
               6.4720001                      -3.8900194
                    6.48                      -3.8620225
               6.4879999                      -3.8343409
               6.4959998                      -3.8069668
               6.5040002                      -3.7798924
               6.5120001                      -3.7531099
                    6.52                       -3.726611
               6.5279999                      -3.7003853
               6.5359998                      -3.6744284
               6.5440001                      -3.6487286
                   6.552                      -3.6232801
               6.5599999                       -3.598076
               6.5679998                      -3.5731083
               6.5760002                      -3.5483708
               6.5840001                      -3.5238583
                   6.592                      -3.4995671
               6.5999999                      -3.4754918
               6.6079998                      -3.4516298
               6.6160002                      -3.4279801
               6.6240001                      -3.4045391
                   6.632                      -3.3813071
               6.6399999                      -3.3582854
               6.6479998                      -3.3354724
               6.6560001                      -3.3128701
                   6.664                      -3.2904808
               6.6719999                      -3.2683076
               6.6799998                      -3.2463515
               6.6880002                      -3.2246148
               6.6960001                      -3.2031017
                   6.704                      -3.1818156
               6.7119999                       -3.160756
               6.7199998                       -3.139928
               6.7280002                      -3.1193319
               6.7360001                      -3.0989697
                   6.744                      -3.0788426
               6.7519999                      -3.0589502
               6.7600002                      -3.0392924
               6.7680001                      -3.0198679
                   6.776                      -3.0006752
               6.7839999                      -2.9817126
               6.7919998                      -2.9629739
               6.8000002                      -2.9444583
               6.8080001                      -2.9261592
                   6.816                      -2.9080725
               6.8239999                      -2.8901916
               6.8319998                        -2.87251
               6.8400002                      -2.8550225
                   6.848                      -2.8377209
               6.8559999                      -2.8205998
               6.8639998                      -2.8036503
               6.8720002                      -2.7868672
               6.8800001                      -2.7702424
                   6.888                      -2.7537717
               6.8959999                      -2.7374467
               6.9039998                      -2.7212625
               6.9120002                      -2.7052147
               6.9200001                      -2.6892991
                   6.928                      -2.6735116
               6.9359999                      -2.6578488
               6.9439998                      -2.6423099
               6.9520001                      -2.6268921
                    6.96                      -2.6115965
               6.9679999                      -2.5964211
               6.9759998                      -2.5813675
               6.9840002                      -2.5664366
               6.9920001                      -2.5516315
                       7                       -2.536954
               7.0079999                      -2.5224058
               7.0159998                      -2.5079907
               7.0240002                      -2.4937124
               7.0320001                      -2.4795734
                    7.04                      -2.4655765
               7.0479999                      -2.4517266
               7.0560002                      -2.4380243
               7.0640001                      -2.4244735
                   7.072                      -2.4110752
               7.0799999                      -2.3978314
               7.0879998                      -2.3847451
               7.0960002                      -2.3718121
               7.1040001                      -2.3590366
                   7.112                      -2.3464148
               7.1199999                       -2.333946
               7.1279998                      -2.3216275
               7.1360002                      -2.3094561
               7.1440001                      -2.2974291
                   7.152                      -2.2855405
               7.1599998                      -2.2737866
               7.1680002                      -2.2621625
               7.1760001                      -2.2506619
                   7.184                        -2.23928
               7.1919999                      -2.2280096
               7.1999998                      -2.2168449
               7.2080002                      -2.2057809
               7.2160001                      -2.1948121
                   7.224                      -2.1839326
               7.2319999                      -2.1731369
               7.2399998                      -2.1624197
               7.2480001                      -2.1517787
                   7.256                      -2.1412094
               7.2639999                      -2.1307091
               7.2719998                      -2.1202756
               7.2800002                      -2.1099084
               7.2880001                      -2.0996064
                   7.296                      -2.0893692
               7.3039999                       -2.079198
               7.3119998                      -2.0690932
               7.3200002                      -2.0590587
               7.3280001                      -2.0490949
                   7.336                      -2.0392065
               7.3439999                      -2.0293957
               7.3520002                      -2.0196674
               7.3600001                      -2.0100238
                   7.368                      -2.0004703
               7.3759999                      -1.9910091
               7.3839998                      -1.9816448
               7.3920002                      -1.9723812
               7.4000001                      -1.9632202
                   7.408                      -1.9541649
               7.4159999                       -1.945218
               7.4239998                        -1.93638
               7.4320002                      -1.9276523
               7.4400001                      -1.9190348
                   7.448                      -1.9105269
               7.4559999                      -1.9021281
               7.4640002                      -1.8938357
               7.4720001                       -1.885647
                    7.48                      -1.8775598
               7.4879999                      -1.8695696
               7.4959998                      -1.8616716
               7.5040002                      -1.8538616
               7.5120001                      -1.8461344
                    7.52                      -1.8384838
               7.5279999                       -1.830906
               7.5359998                      -1.8233941
               7.5440001                       -1.815943
                   7.552                      -1.8085474
               7.5599999                      -1.8012023
               7.5679998                      -1.7939024
               7.5760002                      -1.7866444
               7.5840001                      -1.7794242
                   7.592                      -1.7722391
               7.5999999                      -1.7650861
               7.6079998                      -1.7579645
               7.6160002                      -1.7508726
               7.6240001                      -1.7438106
                   7.632                      -1.7367792
               7.6399999                      -1.7297794
               7.6479998                      -1.7228133
               7.6560001                       -1.715883
                   7.664                      -1.7089932
               7.6719999                      -1.7021448
               7.6799998                      -1.6953448
               7.6880002                      -1.6885952
               7.6960001                      -1.6819002
                   7.704                      -1.6752668
               7.7119999                       -1.668697
               7.7199998                       -1.662195
               7.7280002                      -1.6557663
               7.7360001                      -1.6494127
                   7.744                      -1.6431382
               7.7519999                       -1.636945
               7.7600002                      -1.6308351
               7.7680001                      -1.6248098
                   7.776                      -1.6188697
               7.7839999                      -1.6130132
               7.7919998                      -1.6072412
               7.8000002                      -1.6015505
               7.8080001                      -1.5959387
                   7.816                      -1.5904035
               7.8239999                      -1.5849405
               7.8319998                      -1.5795454
               7.8400002                      -1.5742132
                   7.848                      -1.5689383
               7.8559999                       -1.563717
               7.8639998                      -1.5585415
               7.8720002                      -1.5534078
               7.8800001                      -1.5483084
                   7.888                      -1.5432397
               7.8959999                      -1.5381965
               7.9039998                      -1.5331737
               7.9120002                      -1.5281672
               7.9200001                      -1.5231732
                   7.928                      -1.5181898
               7.9359999                      -1.5132135
               7.9439998                      -1.5082443
               7.9520001                      -1.5032799
                    7.96                      -1.4983226
               7.9679999                      -1.4933725
               7.9759998                      -1.4884312
               7.9840002                      -1.4835014
               7.9920001                      -1.4785866
                       8                        -1.47369
               8.0080004                      -1.4688159
               8.0159998                      -1.4639694
               8.0240002                      -1.4591549
               8.0319996                      -1.4543779
                    8.04                      -1.4496437
               8.0480003                      -1.4449561
               8.0559998                       -1.440321
               8.0640001                      -1.4357426
               8.0719995                      -1.4312254
               8.0799999                      -1.4267723
               8.0880003                      -1.4223862
               8.0959997                      -1.4180694
               8.1040001                      -1.4138242
               8.1120005                      -1.4096497
               8.1199999                      -1.4055458
               8.1280003                      -1.4015117
               8.1359997                      -1.3975474
               8.1440001                      -1.3936474
               8.1520004                      -1.3898089
               8.1599998                      -1.3860278
               8.1680002                         -1.3823
               8.1759996                      -1.3786203
                   8.184                      -1.3749822
               8.1920004                      -1.3713796
               8.1999998                      -1.3678075
               8.2080002                      -1.3642593
               8.2159996                      -1.3607282
                   8.224                      -1.3572094
               8.2320004                      -1.3536969
               8.2399998                      -1.3501861
               8.2480001                      -1.3466718
               8.2559996                      -1.3431518
               8.2639999                      -1.3396221
               8.2720003                       -1.336082
               8.2799997                      -1.3325274
               8.2880001                      -1.3289606
               8.2959995                      -1.3253821
               8.3039999                      -1.3217926
               8.3120003                      -1.3181944
               8.3199997                      -1.3145918
               8.3280001                      -1.3109868
               8.3360004                      -1.3073856
               8.3439999                      -1.3037938
               8.3520002                      -1.3002164
               8.3599997                      -1.2966575
                   8.368                      -1.2931257
               8.3760004                      -1.2896254
               8.3839998                      -1.2861639
               8.3920002                      -1.2827453
               8.3999996                      -1.2793757
                   8.408                      -1.2760597
               8.4160004                      -1.2728018
               8.4239998                      -1.2696043
               8.4320002                      -1.2664706
               8.4399996                      -1.2634024
                   8.448                      -1.2603991
               8.4560003                      -1.2574629
               8.4639997                      -1.2545898
               8.4720001                       -1.251779
               8.4799995                      -1.2490266
               8.4879999                      -1.2463296
               8.4960003                      -1.2436822
               8.5039997                      -1.2410797
               8.5120001                      -1.2385146
               8.5200005                      -1.2359812
               8.5279999                      -1.2334728
               8.5360003                      -1.2309826
               8.5439997                      -1.2285033
                   8.552                      -1.2260274
               8.5600004                      -1.2235489
               8.5679998                      -1.2210621
               8.5760002                      -1.2185616
               8.5839996                      -1.2160408
                   8.592                      -1.2134975
               8.6000004                      -1.2109281
               8.6079998                      -1.2083303
               8.6160002                       -1.205704
               8.6239996                       -1.203047
                   8.632                      -1.2003633
               8.6400003                      -1.1976529
               8.6479998                      -1.1949208
               8.6560001                      -1.1921693
               8.6639996                      -1.1894047
               8.6719999                      -1.1866336
               8.6800003                      -1.1838596
               8.6879997                      -1.1810915
               8.6960001                       -1.178336
               8.7040005                      -1.1756005
