        Frequency / GHz                S2,1 (eps_r=4)/abs,dB
               5.5279999                      -2.2015223
               5.5359998                      -2.2059928
               5.5440001                      -2.2104504
                   5.552                       -2.214887
               5.5599999                      -2.2192979
               5.5679998                       -2.223683
               5.5760002                      -2.2280459
               5.5840001                       -2.232394
                   5.592                      -2.2367365
               5.5999999                      -2.2410876
               5.6079998                      -2.2454634
               5.6160002                      -2.2498818
               5.6240001                      -2.2543634
                   5.632                      -2.2589269
               5.6399999                      -2.2635928
               5.6479998                      -2.2683828
               5.6560001                      -2.2733136
                   5.664                      -2.2784026
               5.6719999                      -2.2836651
               5.6799998                      -2.2891118
               5.6880002                      -2.2947536
               5.6960001                      -2.3005941
                   5.704                      -2.3066363
               5.7119999                      -2.3128787
               5.7199998                      -2.3193159
               5.7280002                      -2.3259411
               5.7360001                      -2.3327424
                   5.744                      -2.3397076
               5.7519999                      -2.3468198
               5.7600002                      -2.3540633
               5.7680001                      -2.3614187
                   5.776                      -2.3688693
               5.7839999                      -2.3763961
               5.7919998                      -2.3839813
               5.8000002                      -2.3916105
               5.8080001                      -2.3992693
                   5.816                      -2.4069451
               5.8239999                      -2.4146314
               5.8319998                      -2.4223214
               5.8400002                      -2.4300114
                   5.848                      -2.4377041
               5.8559999                      -2.4454026
               5.8639998                      -2.4531153
               5.8720002                       -2.460851
               5.8800001                      -2.4686237
                   5.888                      -2.4764476
               5.8959999                      -2.4843396
               5.9039998                      -2.4923171
               5.9120002                      -2.5003996
               5.9200001                       -2.508605
                   5.928                      -2.5169521
               5.9359999                      -2.5254567
               5.9439998                      -2.5341351
               5.9520001                          -2.543
                    5.96                      -2.5520636
               5.9679999                      -2.5613325
               5.9759998                      -2.5708138
               5.9840002                      -2.5805089
               5.9920001                      -2.5904178
                       6                      -2.6005357
               6.0079999                      -2.6108563
               6.0159998                      -2.6213712
               6.0240002                      -2.6320686
               6.0320001                      -2.6429343
                    6.04                      -2.6539556
               6.0479999                      -2.6651168
               6.0560002                      -2.6764026
               6.0640001                      -2.6877961
                   6.072                       -2.699284
               6.0799999                       -2.710854
               6.0879998                      -2.7224929
               6.0960002                       -2.734192
               6.1040001                      -2.7459452
                   6.112                      -2.7577487
               6.1199999                      -2.7696007
               6.1279998                      -2.7815034
               6.1360002                      -2.7934618
               6.1440001                      -2.8054837
                   6.152                      -2.8175809
               6.1599998                      -2.8297636
               6.1680002                      -2.8420498
               6.1760001                      -2.8544545
