        Frequency / GHz                S2,1/abs,dB
               8.0880003                      -8.7704385
               8.0959997                       -8.858747
               8.1040001                      -8.9487675
               8.1120005                      -9.0405368
               8.1199999                      -9.1340952
               8.1280003                      -9.2294853
               8.1359997                      -9.3267531
               8.1440001                      -9.4259463
               8.1520004                      -9.5271196
               8.1599998                      -9.6303292
               8.1680002                      -9.7356387
               8.1759996                      -9.8431156
                   8.184                      -9.9528316
               8.1920004                      -10.064865
               8.1999998                      -10.179305
               8.2080002                       -10.29624
               8.2159996                      -10.415769
                   8.224                      -10.537998
               8.2320004                       -10.66304
               8.2399998                      -10.791018
               8.2480001                      -10.922056
               8.2559996                      -11.056296
               8.2639999                      -11.193878
               8.2720003                      -11.334956
               8.2799997                      -11.479695
               8.2880001                      -11.628261
               8.2959995                      -11.780838
               8.3039999                      -11.937614
               8.3120003                      -12.098788
               8.3199997                      -12.264571
               8.3280001                      -12.435182
               8.3360004                      -12.610855
               8.3439999                      -12.791837
               8.3520002                      -12.978382
               8.3599997                      -13.170768
                   8.368                      -13.369282
               8.3760004                       -13.57423
               8.3839998                       -13.78594
               8.3920002                      -14.004758
               8.3999996                      -14.231054
                   8.408                      -14.465224
               8.4160004                      -14.707694
               8.4239998                      -14.958922
               8.4320002                        -15.2194
               8.4399996                      -15.489663
                   8.448                      -15.770284
               8.4560003                      -16.061893
               8.4639997                      -16.365169
               8.4720001                      -16.680851
               8.4799995                      -17.009743
               8.4879999                      -17.352719
               8.4960003                      -17.710728
               8.5039997                      -18.084795
               8.5120001                      -18.476022
               8.5200005                      -18.885584
               8.5279999                      -19.314717
               8.5360003                      -19.764691
               8.5439997                      -20.236769
                   8.552                      -20.732127
               8.5600004                       -21.25173
               8.5679998                      -21.796133
               8.5760002                      -22.365156
               8.5839996                      -22.957393
                   8.592                      -23.569455
               8.6000004                      -24.194869
               8.6079998                      -24.822543
               8.6160002                      -25.434885
               8.6239996                      -26.005947
                   8.632                      -26.500687
               8.6400003                      -26.877236
               8.6479998                         -27.094
               8.6560001                      -27.121095
               8.6639996                       -26.95107
               8.6719999                      -26.601907
               8.6800003                      -26.110041
               8.6879997                      -25.518464
               8.6960001                      -24.866776
               8.7040005                      -24.186286
               8.7119999                      -23.499272
               8.7200003                      -22.820388
               8.7279997                      -22.158605
               8.7360001                      -21.518979
               8.7440004                      -20.903986
               8.7519999                      -20.314474
               8.7600002                      -19.750292
               8.7679996                      -19.210705
                   8.776                      -18.694654
               8.7840004                      -18.200928
               8.7919998                      -17.728257
               8.8000002                      -17.275382
               8.8079996                      -16.841083
                   8.816                      -16.424206
               8.8240004                      -16.023664
               8.8319998                      -15.638446
               8.8400002                      -15.267612
               8.8479996                      -14.910291
               8.8559999                      -14.565681
               8.8640003                      -14.233036
               8.8719997                       -13.91167
               8.8800001                      -13.600945
               8.8879995                      -13.300271
               8.8959999                      -13.009103
               8.9040003                      -12.726932
               8.9119997                      -12.453286
               8.9200001                      -12.187726
               8.9280005                      -11.929844
               8.9359999                      -11.679261
               8.9440002                      -11.435617
               8.9519997                      -11.198584
                    8.96                      -10.967853
               8.9680004                      -10.743135
               8.9759998                       -10.52416
               8.9840002                      -10.310677
               8.9919996                      -10.102453
                       9                      -9.8992679
               9.0080004                      -9.7009196
               9.0159998                      -9.5072189
               9.0240002                      -9.3179909
               9.0319996                      -9.1330707
                    9.04                      -8.9523067
               9.0480003                      -8.7755602
               9.0559998                      -8.6026992
               9.0640001                      -8.4336049
               9.0719995                      -8.2681639
               9.0799999                      -8.1062743
               9.0880003                      -7.9478399
               9.0959997                      -7.7927713
               9.1040001                      -7.6409862
               9.1120005                      -7.4924062
               9.1199999                      -7.3469617
               9.1280003                      -7.2045839
               9.1359997                      -7.0652083
               9.1440001                      -6.9287755
               9.1520004                      -6.7952271
               9.1599998                      -6.6645073
               9.1680002                      -6.5365625
               9.1759996                      -6.4113412
                   9.184                      -6.2887916
               9.1920004                      -6.1688628
               9.1999998                       -6.051504
               9.2080002                      -5.9366666
               9.2159996                      -5.8242976
                   9.224                      -5.7143491
               9.2320004                      -5.6067694
               9.2399998                      -5.5015059
               9.2480001                      -5.3985072
               9.2559996                      -5.2977214
               9.2639999                      -5.1990968
               9.2720003                      -5.1025774
               9.2799997                      -5.0081114
               9.2880001                      -4.9156448
               9.2959995                      -4.8251244
               9.3039999                      -4.7364978
               9.3120003                      -4.6497113
               9.3199997                      -4.5647136
               9.3280001                      -4.4814536
               9.3360004                       -4.399881
               9.3439999                      -4.3199474
               9.3520002                      -4.2416064
               9.3599997                      -4.1648147
                   9.368                       -4.089527
               9.3760004                      -4.0157042
               9.3839998                      -3.9433077
               9.3920002                      -3.8723012
               9.3999996                      -3.8026513
                   9.408                      -3.7343289
               9.4160004                      -3.6673047
               9.4239998                      -3.6015536
               9.4320002                      -3.5370524
               9.4399996                      -3.4737797
                   9.448                      -3.4117196
               9.4560003                      -3.3508537
               9.4639997                      -3.2911681
               9.4720001                      -3.2326515
               9.4799995                      -3.1752911
               9.4879999                      -3.1190794
               9.4960003                      -3.0640047
               9.5039997                      -3.0100599
               9.5120001                      -2.9572362
               9.5200005                      -2.9055269
               9.5279999                      -2.8549237
               9.5360003                      -2.8054154
               9.5439997                      -2.7569941
                   9.552                      -2.7096506
               9.5600004                      -2.6633704
               9.5679998                      -2.6181421
               9.5760002                      -2.5739507
               9.5839996                      -2.5307798
                   9.592                      -2.4886115
               9.6000004                      -2.4474255
               9.6079998                       -2.407201
               9.6160002                      -2.3679156
               9.6239996                      -2.3295434
                   9.632                       -2.292059
               9.6400003                      -2.2554354
               9.6479998                      -2.2196426
